job_id,machine_id,op_seq,A_lj,S_lj,C_lj,planned_C_lj,tidal_wait,PELABUHAN_LOGIS,congestion_wait,total_wait
0,0,0,93.0,93.0,103.0,103.0,0.0,KENDARI,0.0,0.0
0,1,1,116.0,116.0,118.0,118.0,0.0,WANCI,0.0,0.0
0,0,2,131.0,131.0,137.0,137.0,0.0,KENDARI,0.0,0.0
0,1,3,150.0,150.0,152.0,152.0,0.0,WANCI,0.0,0.0
0,0,4,165.0,165.0,167.0,167.0,0.0,KENDARI,0.0,0.0
0,2,5,175.0,175.0,176.0,176.0,0.0,RAHA,0.0,0.0
0,0,6,184.0,184.0,186.0,186.0,0.0,KENDARI,0.0,0.0
0,1,7,199.0,199.0,201.0,201.0,0.0,WANCI,0.0,0.0
0,0,8,214.0,214.0,233.0,233.0,0.0,KENDARI,0.0,0.0
0,1,9,246.0,246.0,248.0,248.0,0.0,WANCI,0.0,0.0
1,6,0,172.0,172.0,182.0,182.0,0.0,KUMAI,0.0,0.0
1,4,1,209.0,209.0,216.0,216.0,0.0,SURABAYA,0.0,0.0
1,7,2,243.0,243.0,249.0,249.0,0.0,BENOA,0.0,0.0
1,8,3,270.0,270.0,272.0,272.0,0.0,BIMA,0.0,0.0
1,9,4,286.0,286.0,289.0,289.0,0.0,WAINGAPU,0.0,0.0
1,10,5,298.0,298.0,300.0,300.0,0.0,ENDE,0.0,0.0
1,11,6,313.0,313.0,317.0,317.0,0.0,KUPANG,0.0,0.0
1,12,7,330.0,330.0,352.0,352.0,0.0,KALABAHI,0.0,0.0
1,11,8,365.0,365.0,369.0,369.0,0.0,KUPANG,0.0,0.0
1,10,9,382.0,382.0,385.0,385.0,0.0,ENDE,0.0,0.0
2,7,0,66.0,66.0,88.0,88.0,0.0,BENOA,0.0,0.0
2,8,1,111.0,111.0,113.0,113.0,0.0,BIMA,0.0,0.0
2,14,2,121.0,121.0,123.0,123.0,0.0,LABUAN BAJO,0.0,0.0
2,15,3,142.0,142.0,147.0,147.0,0.0,MAKASSAR,0.0,0.0
2,16,4,153.0,153.0,155.0,155.0,0.0,PAREPARE,0.0,0.0
2,17,5,182.0,182.0,185.0,185.0,0.0,BONTANG,0.0,0.0
2,16,6,212.0,212.0,214.0,214.0,0.0,PAREPARE,0.0,0.0
2,15,7,220.0,220.0,225.0,225.0,0.0,MAKASSAR,0.0,0.0
2,14,8,245.0,245.0,247.0,247.0,0.0,LABUAN BAJO,0.0,0.0
2,8,9,255.0,255.0,256.0,256.0,0.0,BIMA,0.0,0.0
3,22,0,210.0,210.0,215.0,215.0,0.0,TANJUNG PRIOK,0.0,0.0
3,23,1,243.0,243.0,244.0,244.0,0.0,BLINYU,0.0,0.0
3,24,2,265.0,265.0,308.0,308.0,0.0,KIJANG,0.0,0.0
3,25,3,321.0,321.0,322.0,322.0,0.0,LETUNG,0.0,0.0
3,26,4,326.0,326.0,327.0,327.0,0.0,TAREMPA,0.0,0.0
3,27,5,338.0,338.0,339.0,339.0,0.0,NATUNA,0.0,0.0
3,28,6,343.0,343.0,344.0,344.0,0.0,MIDAI,0.0,0.0
3,29,7,352.0,352.0,353.0,353.0,0.0,SERASAN,0.0,0.0
3,30,8,374.0,374.0,389.0,389.0,0.0,PONTIANAK,0.0,0.0
3,4,9,431.0,431.0,436.0,436.0,0.0,SURABAYA,0.0,0.0
4,15,0,247.0,247.0,264.0,264.0,0.0,MAKASSAR,0.0,0.0
4,16,1,269.0,269.0,273.0,273.0,0.0,PAREPARE,0.0,0.0
4,31,2,288.0,288.0,290.0,290.0,0.0,BALIKPAPAN,0.0,0.0
4,32,3,315.0,315.0,319.0,319.0,0.0,TARAKAN,0.0,0.0
4,33,4,325.0,325.0,328.0,328.0,0.0,NUNUKAN,0.0,0.0
4,31,5,355.0,355.0,357.0,357.0,0.0,BALIKPAPAN,0.0,0.0
4,16,6,372.0,372.0,376.0,376.0,0.0,PAREPARE,0.0,0.0
