job_id,voyage,ship_name,T_j
0,2,KFC.JETLINER,168.0
0,3,KFC.JETLINER,168.0
1,1,KM.AWU,336.0
1,2,KM.AWU,336.0
1,3,KM.AWU,336.0
1,4,KM.AWU,336.0
1,5,KM.AWU,336.0
2,1,KM.BINAIYA,336.0
2,2,KM.BINAIYA,336.0
2,3,KM.BINAIYA,336.0
2,4,KM.BINAIYA,336.0
3,2,KM.BUKITRAYA,336.0
3,3,KM.BUKITRAYA,336.0
3,4,KM.BUKITRAYA,336.0
3,5,KM.BUKITRAYA,336.0
3,6,KM.BUKITRAYA,336.0
3,7,KM.BUKITRAYA,336.0
4,2,KM.BUKITSIGUNTANG,336.0
4,3,KM.BUKITSIGUNTANG,336.0
4,4,KM.BUKITSIGUNTANG,336.0
5,2,KM.CIREMAI,336.0
5,3,KM.CIREMAI,336.0
5,4,KM.CIREMAI,336.0
5,5,KM.CIREMAI,336.0
5,6,KM.CIREMAI,336.0
5,7,KM.CIREMAI,336.0
6,1,KM.DOBONSOLO,384.0
6,2,KM.DOBONSOLO,384.0
6,3,KM.DOBONSOLO,384.0
6,4,KM.DOBONSOLO,384.0
6,5,KM.DOBONSOLO,384.0
6,6,KM.DOBONSOLO,384.0
7,1,KM.DOROLONDA,336.0
7,2,KM.DOROLONDA,336.0
7,3,KM.DOROLONDA,336.0
7,4,KM.DOROLONDA,336.0
7,5,KM.DOROLONDA,336.0
7,6,KM.DOROLONDA,336.0
8,1,KM.EGON,336.0
8,2,KM.EGON,336.0
8,3,KM.EGON,336.0
8,4,KM.EGON,336.0
9,1,KM.GUNUNGDEMPO,336.0
9,2,KM.GUNUNGDEMPO,336.0
9,3,KM.GUNUNGDEMPO,336.0
9,4,KM.GUNUNGDEMPO,336.0
9,5,KM.GUNUNGDEMPO,336.0
9,6,KM.GUNUNGDEMPO,336.0
10,1,KM.KELIMUTU,384.0
10,2,KM.KELIMUTU,384.0
10,3,KM.KELIMUTU,384.0
10,4,KM.KELIMUTU,384.0
10,5,KM.KELIMUTU,384.0
10,6,KM.KELIMUTU,384.0
11,2,KM.KELUD,168.0
11,3,KM.KELUD,168.0
11,4,KM.KELUD,168.0
11,5,KM.KELUD,168.0
11,6,KM.KELUD,168.0
11,7,KM.KELUD,168.0
12,2,KM.LABOBAR,336.0
12,3,KM.LABOBAR,336.0
12,4,KM.LABOBAR,336.0
12,5,KM.LABOBAR,336.0
12,6,KM.LABOBAR,336.0
12,7,KM.LABOBAR,336.0
13,2,KM.LAMBELU,336.0
13,3,KM.LAMBELU,336.0
13,4,KM.LAMBELU,336.0
14,1,KM.LAWIT,336.0
14,2,KM.LAWIT,336.0
14,3,KM.LAWIT,336.0
14,4,KM.LAWIT,336.0
14,5,KM.LAWIT,336.0
15,1,KM.LEUSER,672.0
15,2,KM.LEUSER,672.0
15,3,KM.LEUSER,672.0
15,4,KM.LEUSER,672.0
16,1,KM.NGGAPULU,336.0
16,2,KM.NGGAPULU,336.0
16,3,KM.NGGAPULU,336.0
16,4,KM.NGGAPULU,336.0
16,5,KM.NGGAPULU,336.0
16,6,KM.NGGAPULU,336.0
16,7,KM.NGGAPULU,336.0
17,1,KM.PANGRANGO,336.0
17,2,KM.PANGRANGO,336.0
18,1,KM.SANGIANG,336.0
18,2,KM.SANGIANG,336.0
18,3,KM.SANGIANG,336.0
18,4,KM.SANGIANG,336.0
18,5,KM.SANGIANG,336.0
18,6,KM.SANGIANG,336.0
19,1,KM.SINABUNG,336.0
19,2,KM.SINABUNG,336.0
19,3,KM.SINABUNG,336.0
19,4,KM.SINABUNG,336.0
19,5,KM.SINABUNG,336.0
19,6,KM.SINABUNG,336.0
20,1,KM.SIRIMAU,672.0
20,2,KM.SIRIMAU,672.0
20,3,KM.SIRIMAU,672.0
20,4,KM.SIRIMAU,672.0
20,5,KM.SIRIMAU,672.0
20,6,KM.SIRIMAU,672.0
21,1,KM.TATAMAILAU,336.0
21,2,KM.TATAMAILAU,336.0
21,3,KM.TATAMAILAU,336.0
21,4,KM.TATAMAILAU,336.0
21,5,KM.TATAMAILAU,336.0
21,6,KM.TATAMAILAU,336.0
22,1,KM.TIDAR,336.0
22,2,KM.TIDAR,336.0
22,3,KM.TIDAR,336.0
22,4,KM.TIDAR,336.0
22,5,KM.TIDAR,336.0
22,6,KM.TIDAR,336.0
23,2,KM.TILONGKABILA,336.0
23,3,KM.TILONGKABILA,336.0
23,4,KM.TILONGKABILA,336.0
23,5,KM.TILONGKABILA,336.0
23,6,KM.TILONGKABILA,336.0
24,2,KM.WILIS,336.0
24,3,KM.WILIS,336.0
24,4,KM.WILIS,336.0
24,5,KM.WILIS,336.0
24,6,KM.WILIS,336.0
24,7,KM.WILIS,336.0
