PELABUHAN_LOGIS,machine_id,num_berth
KENDARI,0,1
WANCI,1,1
RAHA,2,1
D_KENDARI,3,1
SURABAYA,4,1
D_SEMARANG,5,1
KUMAI,6,1
BENOA,7,1
BIMA,8,1
WAINGAPU,9,1
ENDE,10,1
KUPANG,11,1
KALABAHI,12,1
SEMARANG,13,1
LABUAN BAJO,14,1
MAKASSAR,15,1
PAREPARE,16,1
BONTANG,17,1
AWERANGE,18,1
BATULICIN,19,1
D_CIREBON,20,1
D_TANJUNG PRIOK,21,1
TANJUNG PRIOK,22,1
BLINYU,23,1
KIJANG,24,1
LETUNG,25,1
TAREMPA,26,1
NATUNA,27,1
MIDAI,28,1
SERASAN,29,1
PONTIANAK,30,1
BALIKPAPAN,31,1
TARAKAN,32,1
NUNUKAN,33,1
MAUMERE,34,1
LEWOLEBA,35,1
BAUBAU,36,1
AMBON,37,1
SORONG,38,1
SERUI,39,1
JAYAPURA,40,1
MANOKWARI,41,1
BIAK,42,1
NAMLEA,43,1
NABIRE,44,1
KAIMANA,45,1
FAKFAK,46,1
DOBO,47,1
TUAL,48,1
BANDA,49,1
PANTOLOAN,50,1
BITUNG,51,1
TERNATE,52,1
WAREN,53,1
WASIOR,54,1
LEMBAR,55,1
D_MAKASSAR,56,1
D_SURABAYA,57,1
TANJUNG PANDAN,58,1
SAMPIT,59,1
BATAM,60,1
TANJUNG BALAI KARIMUN,61,1
BELAWAN,62,1
D_CILEGON,63,1
LARANTUKA,64,1
KARIMUN JAWA,65,1
ROTE,66,1
NAMROLE,67,1
SAUMLAKI,68,1
TIMIKA,69,1
AGATS,70,1
MERAUKE,71,1
JAILOLO,72,1
BACAN,73,1
SANANA,74,1
GESER,75,1
BANGGAI,76,1
TIDORE,77,1
LUWUK,78,1
GORONTALO,79,1
D_BAUBAU,80,1
WAIKELO,81,1
