port_name,E_min,buffer_time,ship_name,mode
SAMPIT,2.4,4,KM.LAWIT,alur
KUMAI,0.8,2,KM.LAWIT,alur
KUMAI,0.8,2,KM.KELIMUTU,alur
KUMAI,0.8,2,KM.AWU,alur
PONTIANAK,1.1,2,KM.KELIMUTU,alur
PONTIANAK,1.1,2,KM.BUKITRAYA,alur
MERAUKE,4,2,KM.TATAMAILAU,alur
MERAUKE,4,2,KM.SIRIMAU,alur
MERAUKE,4,2,KM.LEUSER,alur
AGATS,1.5,2,KM.TATAMAILAU,alur
AGATS,1.5,2,KM.SIRIMAU,alur
AGATS,1.5,2,KM.LEUSER,alur
TIMIKA,1.2,2,KM.TATAMAILAU,alur
TIMIKA,1.2,2,KM.SIRIMAU,alur
TIMIKA,1.2,2,KM.LEUSER,alur
BATAM,1,1,KM.KELUD,alur
MAKASSAR,1,0,KM.CIREMAI,sandar
MAKASSAR,1,0,KM.DOBONSOLO,sandar
SORONG,1,0,KM.CIREMAI,sandar
SORONG,1,0,KM.DOBONSOLO,sandar
JAYAPURA,1,0,KM.CIREMAI,sandar
JAYAPURA,1,0,KM.DOBONSOLO,sandar
MANOKWARI,0,0,KM.DOBONSOLO,sandar
AMBON,0,0,KM.CIREMAI,sandar
WAINGAPU,1.5,0,KM.EGON,sandar
LEMBAR,0.9,0,KM.EGON,sandar
BATULICIN,1.7,0,KM.EGON,sandar
BONTANG,1.5,0,KM.EGON,sandar
