job_id,voyage,first_arrival_hour,last_completion_hour,due_window_hours,due_hour_absolute,tardiness_hours,lateness_hours,earliness_hours,debug_status
0,15,5473.0,7154.0,336.0,5809.0,1345.0,1345.0,0.0,LATE
11,2,595.0,2188.0,336.0,931.0,1257.0,1257.0,0.0,LATE
5,7,3860.0,5576.0,672.0,4532.0,1044.0,1044.0,0.0,LATE
6,4,917.0,2251.0,336.0,1253.0,998.0,998.0,0.0,LATE
2,15,4980.0,6207.0,336.0,5316.0,891.0,891.0,0.0,LATE
7,20,6562.0,7789.0,336.0,6898.0,891.0,891.0,0.0,LATE
1,2,468.0,1578.0,384.0,852.0,726.0,726.0,0.0,LATE
9,9,3163.0,4120.0,336.0,3499.0,621.0,621.0,0.0,LATE
3,13,4375.0,5268.0,336.0,4711.0,557.0,557.0,0.0,LATE
8,11,3488.0,4312.0,336.0,3824.0,488.0,488.0,0.0,LATE
4,16,5151.0,5951.0,336.0,5487.0,464.0,464.0,0.0,LATE
10,6,3252.0,4290.0,672.0,3924.0,366.0,366.0,0.0,LATE
10,8,4950.0,5859.0,672.0,5622.0,237.0,237.0,0.0,LATE
9,12,4996.0,5542.0,336.0,5332.0,210.0,210.0,0.0,LATE
9,17,6858.0,7346.0,336.0,7194.0,152.0,152.0,0.0,LATE
4,24,8191.0,8670.0,336.0,8527.0,143.0,143.0,0.0,LATE
4,7,2092.0,2570.0,336.0,2428.0,142.0,142.0,0.0,LATE
0,20,8091.0,8560.0,336.0,8427.0,133.0,133.0,0.0,LATE
4,6,1654.0,2120.0,336.0,1990.0,130.0,130.0,0.0,LATE
2,6,1878.0,2327.0,336.0,2214.0,113.0,113.0,0.0,LATE
0,19,7627.0,8068.0,336.0,7963.0,105.0,105.0,0.0,LATE
3,14,5292.0,5733.0,336.0,5628.0,105.0,105.0,0.0,LATE
9,11,4538.0,4977.0,336.0,4874.0,103.0,103.0,0.0,LATE
11,12,5381.0,5820.0,336.0,5717.0,103.0,103.0,0.0,LATE
3,5,1467.0,1894.0,336.0,1803.0,91.0,91.0,0.0,LATE
0,6,1887.0,2311.0,336.0,2223.0,88.0,88.0,0.0,LATE
4,8,2542.0,2961.0,336.0,2878.0,83.0,83.0,0.0,LATE
11,18,7600.0,8012.0,336.0,7936.0,76.0,76.0,0.0,LATE
11,4,2532.0,2942.0,336.0,2868.0,74.0,74.0,0.0,LATE
11,17,7227.0,7637.0,336.0,7563.0,74.0,74.0,0.0,LATE
9,13,5572.0,5978.0,336.0,5908.0,70.0,70.0,0.0,LATE
0,12,4273.0,4677.0,336.0,4609.0,68.0,68.0,0.0,LATE
0,10,3500.0,3903.0,336.0,3836.0,67.0,67.0,0.0,LATE
1,5,2305.0,2754.0,384.0,2689.0,65.0,65.0,0.0,LATE
9,5,1677.0,2076.0,336.0,2013.0,63.0,63.0,0.0,LATE
6,7,2445.0,2843.0,336.0,2781.0,62.0,62.0,0.0,LATE
11,1,101.0,499.0,336.0,437.0,62.0,62.0,0.0,LATE
3,8,2608.0,3001.0,336.0,2944.0,57.0,57.0,0.0,LATE
1,22,8240.0,8679.0,384.0,8624.0,55.0,55.0,0.0,LATE
6,23,7900.0,8291.0,336.0,8236.0,55.0,55.0,0.0,LATE
3,22,8066.0,8454.0,336.0,8402.0,52.0,52.0,0.0,LATE
11,19,8022.0,8409.0,336.0,8358.0,51.0,51.0,0.0,LATE
11,7,3606.0,3992.0,336.0,3942.0,50.0,50.0,0.0,LATE
0,2,435.0,820.0,336.0,771.0,49.0,49.0,0.0,LATE
9,2,554.0,939.0,336.0,890.0,49.0,49.0,0.0,LATE
0,13,4680.0,5062.0,336.0,5016.0,46.0,46.0,0.0,LATE
2,14,4588.0,4969.0,336.0,4924.0,45.0,45.0,0.0,LATE
0,3,828.0,1204.0,336.0,1164.0,40.0,40.0,0.0,LATE
0,8,2725.0,3100.0,336.0,3061.0,39.0,39.0,0.0,LATE
5,2,966.0,1676.0,672.0,1638.0,38.0,38.0,0.0,LATE
7,18,5758.0,6131.0,336.0,6094.0,37.0,37.0,0.0,LATE
11,3,2171.0,2544.0,336.0,2507.0,37.0,37.0,0.0,LATE
0,7,2327.0,2698.0,336.0,2663.0,35.0,35.0,0.0,LATE
7,6,1692.0,2062.0,336.0,2028.0,34.0,34.0,0.0,LATE
9,1,153.0,523.0,336.0,489.0,34.0,34.0,0.0,LATE
9,7,2421.0,2791.0,336.0,2757.0,34.0,34.0,0.0,LATE
9,10,4148.0,4510.0,336.0,4484.0,26.0,26.0,0.0,LATE
0,14,5086.0,5447.0,336.0,5422.0,25.0,25.0,0.0,LATE
0,9,3117.0,3474.0,336.0,3453.0,21.0,21.0,0.0,LATE
11,9,4308.0,4663.0,336.0,4644.0,19.0,19.0,0.0,LATE
6,16,5555.0,5909.0,336.0,5891.0,18.0,18.0,0.0,LATE
0,11,3899.0,4252.0,336.0,4235.0,17.0,17.0,0.0,LATE
9,14,5962.0,6315.0,336.0,6298.0,17.0,17.0,0.0,LATE
9,3,934.0,1286.0,336.0,1270.0,16.0,16.0,0.0,LATE
5,1,281.0,968.0,672.0,953.0,15.0,15.0,0.0,LATE
11,13,5808.0,6159.0,336.0,6144.0,15.0,15.0,0.0,LATE
2,21,7924.0,8274.0,336.0,8260.0,14.0,14.0,0.0,LATE
9,20,8045.0,8395.0,336.0,8381.0,14.0,14.0,0.0,LATE
3,6,1902.0,2249.0,336.0,2238.0,11.0,11.0,0.0,LATE
11,11,5023.0,5370.0,336.0,5359.0,11.0,11.0,0.0,LATE
0,5,1515.0,1861.0,336.0,1851.0,10.0,10.0,0.0,LATE
9,15,6334.0,6679.0,336.0,6670.0,9.0,9.0,0.0,LATE
11,14,6171.0,6516.0,336.0,6507.0,9.0,9.0,0.0,LATE
1,15,5863.0,6255.0,384.0,6247.0,8.0,8.0,0.0,LATE
2,18,6910.0,7254.0,336.0,7246.0,8.0,8.0,0.0,LATE
10,12,7564.0,8244.0,672.0,8236.0,8.0,8.0,0.0,LATE
11,10,4673.0,5016.0,336.0,5009.0,7.0,7.0,0.0,LATE
1,14,5448.0,5837.0,384.0,5832.0,5.0,5.0,0.0,LATE
8,6,1769.0,2110.0,336.0,2105.0,5.0,5.0,0.0,LATE
2,7,2300.0,2640.0,336.0,2636.0,4.0,4.0,0.0,LATE
11,16,6877.0,7216.0,336.0,7213.0,3.0,3.0,0.0,LATE
2,5,1511.0,1849.0,336.0,1847.0,2.0,2.0,0.0,LATE
6,17,5926.0,6264.0,336.0,6262.0,2.0,2.0,0.0,LATE
11,15,6527.0,6865.0,336.0,6863.0,2.0,2.0,0.0,LATE
0,4,1228.0,1488.0,336.0,1564.0,0.0,-76.0,76.0,ON_TIME
0,16,6623.0,6940.0,336.0,6959.0,0.0,-19.0,19.0,ON_TIME
0,17,6959.0,7274.0,336.0,7295.0,0.0,-21.0,21.0,ON_TIME
0,18,7295.0,7611.0,336.0,7631.0,0.0,-20.0,20.0,ON_TIME
1,1,158.0,436.0,384.0,542.0,0.0,-106.0,106.0,ON_TIME
1,3,1602.0,1967.0,384.0,1986.0,0.0,-19.0,19.0,ON_TIME
1,4,1994.0,2288.0,384.0,2378.0,0.0,-90.0,90.0,ON_TIME
1,6,2779.0,3110.0,384.0,3163.0,0.0,-53.0,53.0,ON_TIME
1,7,3171.0,3438.0,384.0,3555.0,0.0,-117.0,117.0,ON_TIME
1,8,3448.0,3780.0,384.0,3832.0,0.0,-52.0,52.0,ON_TIME
1,9,3805.0,4082.0,384.0,4189.0,0.0,-107.0,107.0,ON_TIME
1,10,4107.0,4489.0,384.0,4491.0,0.0,-2.0,2.0,ON_TIME
1,11,4499.0,4755.0,384.0,4883.0,0.0,-128.0,128.0,ON_TIME
1,12,4781.0,5130.0,384.0,5165.0,0.0,-35.0,35.0,ON_TIME
1,13,5156.0,5421.0,384.0,5540.0,0.0,-119.0,119.0,ON_TIME
1,16,6269.0,6542.0,384.0,6653.0,0.0,-111.0,111.0,ON_TIME
1,17,6565.0,6870.0,384.0,6949.0,0.0,-79.0,79.0,ON_TIME
1,18,6858.0,7209.0,384.0,7242.0,0.0,-33.0,33.0,ON_TIME
1,19,7216.0,7491.0,384.0,7600.0,0.0,-109.0,109.0,ON_TIME
1,20,7503.0,7836.0,384.0,7887.0,0.0,-51.0,51.0,ON_TIME
1,21,7862.0,8231.0,384.0,8246.0,0.0,-15.0,15.0,ON_TIME
2,1,172.0,479.0,336.0,508.0,0.0,-29.0,29.0,ON_TIME
2,2,508.0,811.0,336.0,844.0,0.0,-33.0,33.0,ON_TIME
2,3,838.0,1149.0,336.0,1174.0,0.0,-25.0,25.0,ON_TIME
2,4,1178.0,1484.0,336.0,1514.0,0.0,-30.0,30.0,ON_TIME
2,8,2671.0,2987.0,336.0,3007.0,0.0,-20.0,20.0,ON_TIME
2,9,3014.0,3166.0,336.0,3350.0,0.0,-184.0,184.0,ON_TIME
2,10,3196.0,3522.0,336.0,3532.0,0.0,-10.0,10.0,ON_TIME
2,11,3547.0,3869.0,336.0,3883.0,0.0,-14.0,14.0,ON_TIME
2,12,3888.0,4206.0,336.0,4224.0,0.0,-18.0,18.0,ON_TIME
