job_id,voyage,machine_id,op_seq,baseline_A_lj,baseline_S_lj,baseline_C_lj,baseline_p_lj,baseline_TSail_lj,baseline_tidal_wait,baseline_congestion_wait,optimized_A_lj,optimized_S_lj,optimized_C_lj,optimized_p_lj,optimized_tidal_wait,optimized_congestion_wait,delta_start_hours,delta_completion_hours,delta_tidal_wait_hours,delta_congestion_wait_hours
0,2,22,0,435.0,435.0,454.0,19.0,29.0,0.0,0.0,435.0,435.0,454.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,4,1,483.0,483.0,487.0,4.0,30.0,0.0,0.0,483.0,483.0,487.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,15,2,517.0,517.0,521.0,4.0,16.0,0.0,0.0,517.0,517.0,521.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,36,3,537.0,537.0,539.0,2.0,26.0,0.0,0.0,537.0,537.0,539.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,37,4,565.0,565.0,568.0,3.0,22.0,0.0,0.0,565.0,565.0,568.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,38,5,590.0,590.0,592.0,2.0,24.0,0.0,0.0,590.0,590.0,592.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,39,6,616.0,616.0,618.0,2.0,20.0,0.0,0.0,616.0,616.0,618.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,40,7,638.0,638.0,643.0,5.0,22.0,0.0,0.0,638.0,638.0,643.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,39,8,665.0,665.0,667.0,2.0,23.0,0.0,0.0,665.0,665.0,667.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,38,9,690.0,690.0,693.0,3.0,23.0,0.0,0.0,690.0,690.0,693.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
