job_id,voyage,first_arrival_hour,baseline_last_completion_hour,due_window_hours,due_hour_absolute,baseline_tardiness_hours,baseline_lateness_hours,baseline_earliness_hours,baseline_status,optimized_last_completion_hour,optimized_tardiness_hours,optimized_lateness_hours,optimized_earliness_hours,optimized_status,delta_completion_hours,delta_tardiness_hours,delta_lateness_hours,status_transition
11,2,595.0,2185.0,336.0,931.0,1254.0,1254.0,0.0,LATE,2160.0,1229.0,1229.0,0.0,LATE,-25.0,-25.0,-25.0,LATE -> LATE
6,4,917.0,2251.0,336.0,1253.0,998.0,998.0,0.0,LATE,2250.0,997.0,997.0,0.0,LATE,-1.0,-1.0,-1.0,LATE -> LATE
1,2,468.0,1578.0,384.0,852.0,726.0,726.0,0.0,LATE,1578.0,726.0,726.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
4,6,1654.0,2086.0,336.0,1990.0,96.0,96.0,0.0,LATE,2068.0,78.0,78.0,0.0,LATE,-18.0,-18.0,-18.0,LATE -> LATE
0,6,1887.0,2299.0,336.0,2223.0,76.0,76.0,0.0,LATE,2299.0,76.0,76.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
3,5,1467.0,1876.0,336.0,1803.0,73.0,73.0,0.0,LATE,1876.0,73.0,73.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
1,5,2305.0,2753.0,384.0,2689.0,64.0,64.0,0.0,LATE,2753.0,64.0,64.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
9,5,1677.0,2075.0,336.0,2013.0,62.0,62.0,0.0,LATE,2056.0,43.0,43.0,0.0,LATE,-19.0,-19.0,-19.0,LATE -> LATE
11,1,101.0,499.0,336.0,437.0,62.0,62.0,0.0,LATE,474.0,37.0,37.0,0.0,LATE,-25.0,-25.0,-25.0,LATE -> LATE
9,2,554.0,939.0,336.0,890.0,49.0,49.0,0.0,LATE,902.0,12.0,12.0,0.0,LATE,-37.0,-37.0,-37.0,LATE -> LATE
11,4,2532.0,2915.0,336.0,2868.0,47.0,47.0,0.0,LATE,2909.0,41.0,41.0,0.0,LATE,-6.0,-6.0,-6.0,LATE -> LATE
0,3,828.0,1204.0,336.0,1164.0,40.0,40.0,0.0,LATE,1201.0,37.0,37.0,0.0,LATE,-3.0,-3.0,-3.0,LATE -> LATE
5,2,966.0,1676.0,672.0,1638.0,38.0,38.0,0.0,LATE,1676.0,38.0,38.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
9,1,153.0,523.0,336.0,489.0,34.0,34.0,0.0,LATE,533.0,44.0,44.0,0.0,LATE,10.0,10.0,10.0,LATE -> LATE
0,2,435.0,800.0,336.0,771.0,29.0,29.0,0.0,LATE,800.0,29.0,29.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
