job_id,voyage,first_arrival_hour,last_completion_hour,due_window_hours,due_hour_absolute,tardiness_hours,lateness_hours,earliness_hours,debug_status
10,4,817.0,2933.0,384.0,1201.0,1732.0,1732.0,0.0,LATE
21,2,595.0,2160.0,336.0,931.0,1229.0,1229.0,0.0,LATE
16,4,917.0,2251.0,336.0,1253.0,998.0,998.0,0.0,LATE
23,3,575.0,1642.0,336.0,911.0,731.0,731.0,0.0,LATE
6,2,468.0,1576.0,384.0,852.0,724.0,724.0,0.0,LATE
1,3,898.0,1884.0,336.0,1234.0,650.0,650.0,0.0,LATE
14,3,727.0,1341.0,336.0,1063.0,278.0,278.0,0.0,LATE
8,4,1255.0,1773.0,336.0,1591.0,182.0,182.0,0.0,LATE
9,5,1467.0,1881.0,336.0,1803.0,78.0,78.0,0.0,LATE
12,6,1654.0,2068.0,336.0,1990.0,78.0,78.0,0.0,LATE
5,6,1887.0,2299.0,336.0,2223.0,76.0,76.0,0.0,LATE
23,4,1641.0,2053.0,336.0,1977.0,76.0,76.0,0.0,LATE
23,5,2058.0,2460.0,336.0,2394.0,66.0,66.0,0.0,LATE
6,5,2305.0,2753.0,384.0,2689.0,64.0,64.0,0.0,LATE
14,2,388.0,771.0,336.0,724.0,47.0,47.0,0.0,LATE
21,4,2532.0,2915.0,336.0,2868.0,47.0,47.0,0.0,LATE
8,3,846.0,1226.0,336.0,1182.0,44.0,44.0,0.0,LATE
19,5,1677.0,2056.0,336.0,2013.0,43.0,43.0,0.0,LATE
15,2,966.0,1679.0,672.0,1638.0,41.0,41.0,0.0,LATE
19,1,153.0,528.0,336.0,489.0,39.0,39.0,0.0,LATE
23,2,176.0,551.0,336.0,512.0,39.0,39.0,0.0,LATE
3,3,594.0,968.0,336.0,930.0,38.0,38.0,0.0,LATE
5,3,828.0,1201.0,336.0,1164.0,37.0,37.0,0.0,LATE
21,1,101.0,474.0,336.0,437.0,37.0,37.0,0.0,LATE
17,1,36.0,404.0,336.0,372.0,32.0,32.0,0.0,LATE
5,2,435.0,802.0,336.0,771.0,31.0,31.0,0.0,LATE
19,2,554.0,914.0,336.0,890.0,24.0,24.0,0.0,LATE
3,2,210.0,567.0,336.0,546.0,21.0,21.0,0.0,LATE
19,3,934.0,1291.0,336.0,1270.0,21.0,21.0,0.0,LATE
12,4,984.0,1337.0,336.0,1320.0,17.0,17.0,0.0,LATE
21,3,2171.0,2520.0,336.0,2507.0,13.0,13.0,0.0,LATE
14,1,13.0,361.0,336.0,349.0,12.0,12.0,0.0,LATE
5,5,1515.0,1862.0,336.0,1851.0,11.0,11.0,0.0,LATE
9,2,422.0,768.0,336.0,758.0,10.0,10.0,0.0,LATE
15,1,281.0,961.0,672.0,953.0,8.0,8.0,0.0,LATE
8,2,498.0,840.0,336.0,834.0,6.0,6.0,0.0,LATE
3,4,996.0,1336.0,336.0,1332.0,4.0,4.0,0.0,LATE
18,3,833.0,1173.0,336.0,1169.0,4.0,4.0,0.0,LATE
7,5,1511.0,1849.0,336.0,1847.0,2.0,2.0,0.0,LATE
9,3,760.0,1098.0,336.0,1096.0,2.0,2.0,0.0,LATE
20,6,3252.0,3925.0,672.0,3924.0,1.0,1.0,0.0,LATE
0,2,93.0,248.0,168.0,261.0,0.0,-13.0,13.0,ON_TIME
0,3,261.0,416.0,168.0,429.0,0.0,-13.0,13.0,ON_TIME
1,1,172.0,474.0,336.0,508.0,0.0,-34.0,34.0,ON_TIME
1,2,502.0,837.0,336.0,838.0,0.0,-1.0,1.0,ON_TIME
1,4,1908.0,2233.0,336.0,2244.0,0.0,-11.0,11.0,ON_TIME
1,5,2259.0,2491.0,336.0,2595.0,0.0,-104.0,104.0,ON_TIME
2,1,66.0,398.0,336.0,402.0,0.0,-4.0,4.0,ON_TIME
2,2,416.0,659.0,336.0,752.0,0.0,-93.0,93.0,ON_TIME
2,3,682.0,999.0,336.0,1018.0,0.0,-19.0,19.0,ON_TIME
2,4,1022.0,1040.0,336.0,1358.0,0.0,-318.0,318.0,ON_TIME
3,5,1362.0,1696.0,336.0,1698.0,0.0,-2.0,2.0,ON_TIME
3,6,1723.0,1870.0,336.0,2059.0,0.0,-189.0,189.0,ON_TIME
3,7,1916.0,2068.0,336.0,2252.0,0.0,-184.0,184.0,ON_TIME
4,2,247.0,582.0,336.0,583.0,0.0,-1.0,1.0,ON_TIME
4,3,583.0,914.0,336.0,919.0,0.0,-5.0,5.0,ON_TIME
4,4,919.0,1108.0,336.0,1255.0,0.0,-147.0,147.0,ON_TIME
5,4,1228.0,1501.0,336.0,1564.0,0.0,-63.0,63.0,ON_TIME
5,7,2327.0,2342.0,336.0,2663.0,0.0,-321.0,321.0,ON_TIME
6,1,158.0,441.0,384.0,542.0,0.0,-101.0,101.0,ON_TIME
6,3,1602.0,1967.0,384.0,1986.0,0.0,-19.0,19.0,ON_TIME
6,4,1994.0,2278.0,384.0,2378.0,0.0,-100.0,100.0,ON_TIME
6,6,2779.0,2804.0,384.0,3163.0,0.0,-359.0,359.0,ON_TIME
7,1,172.0,479.0,336.0,508.0,0.0,-29.0,29.0,ON_TIME
7,2,508.0,811.0,336.0,844.0,0.0,-33.0,33.0,ON_TIME
7,3,838.0,1149.0,336.0,1174.0,0.0,-25.0,25.0,ON_TIME
7,4,1178.0,1489.0,336.0,1514.0,0.0,-25.0,25.0,ON_TIME
7,6,1878.0,1890.0,336.0,2214.0,0.0,-324.0,324.0,ON_TIME
8,1,165.0,472.0,336.0,501.0,0.0,-29.0,29.0,ON_TIME
9,1,76.0,397.0,336.0,412.0,0.0,-15.0,15.0,ON_TIME
9,4,1118.0,1441.0,336.0,1454.0,0.0,-13.0,13.0,ON_TIME
9,6,1902.0,1933.0,336.0,2238.0,0.0,-305.0,305.0,ON_TIME
10,1,20.0,181.0,384.0,404.0,0.0,-223.0,223.0,ON_TIME
10,2,199.0,490.0,384.0,583.0,0.0,-93.0,93.0,ON_TIME
10,3,483.0,794.0,384.0,867.0,0.0,-73.0,73.0,ON_TIME
10,5,2107.0,2404.0,384.0,2491.0,0.0,-87.0,87.0,ON_TIME
10,6,2421.0,2578.0,384.0,2805.0,0.0,-227.0,227.0,ON_TIME
11,2,266.0,382.0,168.0,434.0,0.0,-52.0,52.0,ON_TIME
11,3,412.0,527.0,168.0,580.0,0.0,-53.0,53.0,ON_TIME
11,4,557.0,684.0,168.0,725.0,0.0,-41.0,41.0,ON_TIME
11,5,714.0,857.0,168.0,882.0,0.0,-25.0,25.0,ON_TIME
11,6,887.0,1020.0,168.0,1055.0,0.0,-35.0,35.0,ON_TIME
11,7,1050.0,1077.0,168.0,1218.0,0.0,-141.0,141.0,ON_TIME
12,2,355.0,650.0,336.0,691.0,0.0,-41.0,41.0,ON_TIME
12,3,653.0,981.0,336.0,989.0,0.0,-8.0,8.0,ON_TIME
12,5,1319.0,1629.0,336.0,1655.0,0.0,-26.0,26.0,ON_TIME
12,7,2092.0,2116.0,336.0,2428.0,0.0,-312.0,312.0,ON_TIME
13,2,244.0,527.0,336.0,580.0,0.0,-53.0,53.0,ON_TIME
13,3,507.0,838.0,336.0,843.0,0.0,-5.0,5.0,ON_TIME
13,4,843.0,1019.0,336.0,1179.0,0.0,-160.0,160.0,ON_TIME
14,4,1082.0,1402.0,336.0,1418.0,0.0,-16.0,16.0,ON_TIME
14,5,1413.0,1416.0,336.0,1749.0,0.0,-333.0,333.0,ON_TIME
15,3,1692.0,2108.0,672.0,2364.0,0.0,-256.0,256.0,ON_TIME
15,4,2126.0,2464.0,672.0,2798.0,0.0,-334.0,334.0,ON_TIME
16,1,173.0,292.0,336.0,509.0,0.0,-217.0,217.0,ON_TIME
16,2,320.0,638.0,336.0,656.0,0.0,-18.0,18.0,ON_TIME
16,3,640.0,917.0,336.0,976.0,0.0,-59.0,59.0,ON_TIME
16,5,1969.0,2089.0,336.0,2305.0,0.0,-216.0,216.0,ON_TIME
16,6,2119.0,2443.0,336.0,2455.0,0.0,-12.0,12.0,ON_TIME
16,7,2445.0,2627.0,336.0,2781.0,0.0,-154.0,154.0,ON_TIME
17,2,372.0,667.0,336.0,708.0,0.0,-41.0,41.0,ON_TIME
18,1,161.0,481.0,336.0,497.0,0.0,-16.0,16.0,ON_TIME
18,2,497.0,813.0,336.0,833.0,0.0,-20.0,20.0,ON_TIME
18,4,1169.0,1485.0,336.0,1505.0,0.0,-20.0,20.0,ON_TIME
18,5,1505.0,1749.0,336.0,1841.0,0.0,-92.0,92.0,ON_TIME
18,6,1769.0,1873.0,336.0,2105.0,0.0,-232.0,232.0,ON_TIME
19,4,1318.0,1649.0,336.0,1654.0,0.0,-5.0,5.0,ON_TIME
19,6,2087.0,2101.0,336.0,2423.0,0.0,-322.0,322.0,ON_TIME
20,1,240.0,860.0,672.0,912.0,0.0,-52.0,52.0,ON_TIME
20,2,892.0,1507.0,672.0,1564.0,0.0,-57.0,57.0,ON_TIME
20,3,1538.0,2169.0,672.0,2210.0,0.0,-41.0,41.0,ON_TIME
20,4,2202.0,2839.0,672.0,2874.0,0.0,-35.0,35.0,ON_TIME
20,5,2872.0,3196.0,672.0,3544.0,0.0,-348.0,348.0,ON_TIME
21,5,2920.0,3255.0,336.0,3256.0,0.0,-1.0,1.0,ON_TIME
21,6,3265.0,3315.0,336.0,3601.0,0.0,-286.0,286.0,ON_TIME
22,1,55.0,352.0,336.0,391.0,0.0,-39.0,39.0,ON_TIME
22,2,386.0,710.0,336.0,722.0,0.0,-12.0,12.0,ON_TIME
22,3,725.0,1049.0,336.0,1061.0,0.0,-12.0,12.0,ON_TIME
22,4,1076.0,1394.0,336.0,1412.0,0.0,-18.0,18.0,ON_TIME
22,5,1409.0,1721.0,336.0,1745.0,0.0,-24.0,24.0,ON_TIME
22,6,1740.0,1743.0,336.0,2076.0,0.0,-333.0,333.0,ON_TIME
23,6,2466.0,2478.0,336.0,2802.0,0.0,-324.0,324.0,ON_TIME
24,2,327.0,633.0,336.0,663.0,0.0,-30.0,30.0,ON_TIME
24,3,663.0,974.0,336.0,999.0,0.0,-25.0,25.0,ON_TIME
24,4,999.0,1311.0,336.0,1335.0,0.0,-24.0,24.0,ON_TIME
24,5,1335.0,1641.0,336.0,1671.0,0.0,-30.0,30.0,ON_TIME
24,6,1671.0,1953.0,336.0,2007.0,0.0,-54.0,54.0,ON_TIME
24,7,1983.0,1986.0,336.0,2319.0,0.0,-333.0,333.0,ON_TIME
