seed,algorithm_seed,algorithm,total_tardiness,max_tardiness,runtime_seconds,feasible,convergence_path,error
1,100001,CAOA,5759.0,1502.0,68.18441604100008,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_1.npy,
1,200001,CAOASSR,5756.0,1502.0,77.56090951299848,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_1.npy,
1,300001,GWO,5781.0,1502.0,56.64710804399874,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_1.npy,
2,100002,CAOA,5766.0,1502.0,67.2278083559977,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_2.npy,
2,200002,CAOASSR,5758.0,1502.0,77.44037282499994,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_2.npy,
2,300002,GWO,5756.0,1502.0,56.19113551999908,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_2.npy,
3,100003,CAOA,5764.0,1502.0,66.57018418799998,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_3.npy,
3,200003,CAOASSR,5756.0,1502.0,75.71222404100263,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_3.npy,
3,300003,GWO,5781.0,1502.0,56.088972751000256,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_3.npy,
4,100004,CAOA,5759.0,1502.0,66.71055503800017,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_4.npy,
4,200004,CAOASSR,5756.0,1502.0,79.38604150599713,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_4.npy,
4,300004,GWO,5777.0,1502.0,56.335161749997496,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_4.npy,
5,100005,CAOA,5758.0,1502.0,67.58875753599932,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_5.npy,
5,200005,CAOASSR,5756.0,1502.0,80.48902823300159,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_5.npy,
5,300005,GWO,5781.0,1502.0,56.64357065000149,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_5.npy,
6,100006,CAOA,5778.0,1502.0,67.21895143700021,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_6.npy,
6,200006,CAOASSR,5756.0,1502.0,77.53998845399838,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_6.npy,
6,300006,GWO,5787.0,1502.0,56.724681683997915,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_6.npy,
7,100007,CAOA,5766.0,1502.0,65.45969057899856,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_7.npy,
7,200007,CAOASSR,5756.0,1502.0,78.47510343999966,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_7.npy,
7,300007,GWO,5760.0,1502.0,55.67329043900099,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_7.npy,
8,100008,CAOA,5767.0,1502.0,66.39192633900166,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_8.npy,
8,200008,CAOASSR,5758.0,1502.0,77.49938020400077,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_8.npy,
8,300008,GWO,5758.0,1502.0,55.39238126499913,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_8.npy,
9,100009,CAOA,5758.0,1502.0,65.15831462700226,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_9.npy,
9,200009,CAOASSR,5758.0,1502.0,78.24371663599959,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_9.npy,
9,300009,GWO,5763.0,1502.0,55.499724927998614,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_9.npy,
10,100010,CAOA,5762.0,1502.0,65.62566282700209,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_10.npy,
10,200010,CAOASSR,5760.0,1502.0,77.37099799399948,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_10.npy,
10,300010,GWO,5783.0,1502.0,55.24602469800084,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_10.npy,
11,100011,CAOA,5771.0,1502.0,66.29905302000043,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_11.npy,
11,200011,CAOASSR,5758.0,1502.0,76.8270023039986,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_11.npy,
11,300011,GWO,5801.0,1502.0,54.705526757999905,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_11.npy,
12,100012,CAOA,5773.0,1502.0,66.8958531290009,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_12.npy,
12,200012,CAOASSR,5756.0,1502.0,77.3939972320004,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_12.npy,
12,300012,GWO,5785.0,1502.0,55.982834102997,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_12.npy,
13,100013,CAOA,5765.0,1502.0,66.03825482600223,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_13.npy,
13,200013,CAOASSR,5756.0,1502.0,76.73225221299799,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_13.npy,
13,300013,GWO,5789.0,1502.0,55.16675440600011,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_13.npy,
14,100014,CAOA,5756.0,1502.0,66.6894554620012,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_14.npy,
14,200014,CAOASSR,5757.0,1502.0,77.58571137900071,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_14.npy,
14,300014,GWO,5765.0,1502.0,56.837982017001195,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_14.npy,
15,100015,CAOA,5758.0,1502.0,65.47246403700046,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_15.npy,
15,200015,CAOASSR,5758.0,1502.0,77.9979783020026,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_15.npy,
15,300015,GWO,5774.0,1502.0,56.412525147999986,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_15.npy,
16,100016,CAOA,5762.0,1502.0,67.3498386120009,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_16.npy,
16,200016,CAOASSR,5756.0,1502.0,77.1642254110011,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_16.npy,
16,300016,GWO,5781.0,1502.0,56.00690481499987,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_16.npy,
17,100017,CAOA,5765.0,1502.0,65.18129250300262,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_17.npy,
17,200017,CAOASSR,5756.0,1502.0,76.6457209950022,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_17.npy,
17,300017,GWO,5798.0,1502.0,55.8586418699997,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_17.npy,
18,100018,CAOA,5781.0,1502.0,64.95054514900039,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_18.npy,
18,200018,CAOASSR,5758.0,1502.0,78.90611225500106,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoassr/seed_18.npy,
18,300018,GWO,5756.0,1502.0,55.58409841499815,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/gwo/seed_18.npy,
19,100019,CAOA,5760.0,1502.0,66.15179686000192,True,data/results/nonparametric/nonparametric_20260502_175448/convergence_runs/caoa/seed_19.npy,
