seed,algorithm_seed,algorithm,total_tardiness,max_tardiness,runtime_seconds,feasible,convergence_path,error
1,100001,CAOA,5758.0,1502.0,145.50455199700082,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_1.npy,
1,200001,CAOASSR,5756.0,1502.0,162.48368770600064,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_1.npy,
1,300001,GWO,5781.0,1502.0,112.56260711500363,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_1.npy,
2,100002,CAOA,5758.0,1502.0,140.8912963190014,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_2.npy,
2,200002,CAOASSR,5756.0,1502.0,162.73988024500431,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_2.npy,
2,300002,GWO,5756.0,1502.0,110.18217225000262,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_2.npy,
3,100003,CAOA,5756.0,1502.0,143.1040877609994,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_3.npy,
3,200003,CAOASSR,5756.0,1502.0,163.84627969400026,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_3.npy,
3,300003,GWO,5789.0,1502.0,113.3804046180012,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_3.npy,
4,100004,CAOA,5758.0,1502.0,141.9357505730004,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_4.npy,
4,200004,CAOASSR,5756.0,1502.0,163.49738358999457,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_4.npy,
4,300004,GWO,5756.0,1502.0,111.44605342499563,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_4.npy,
5,100005,CAOA,5756.0,1502.0,142.38674781499867,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_5.npy,
5,200005,CAOASSR,5756.0,1502.0,164.27632441600144,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_5.npy,
5,300005,GWO,5781.0,1502.0,111.0803492949999,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_5.npy,
6,100006,CAOA,5756.0,1502.0,143.3573558460048,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_6.npy,
6,200006,CAOASSR,5756.0,1502.0,162.55841958699602,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_6.npy,
6,300006,GWO,5776.0,1502.0,110.3461523579972,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_6.npy,
7,100007,CAOA,5756.0,1502.0,141.41392093800096,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_7.npy,
