seed,caoa_total_tardiness,caoassr_total_tardiness,gwo_total_tardiness
1,5758.0,5756.0,5787.0
2,5771.0,5756.0,5773.0
3,5756.0,5756.0,5784.0
4,5760.0,5756.0,5758.0
5,5760.0,5756.0,5783.0
6,5766.0,5756.0,5773.0
7,5758.0,5756.0,5760.0
8,5769.0,5756.0,5774.0
9,5760.0,5758.0,5756.0
10,5758.0,5758.0,5781.0
11,5756.0,5756.0,5756.0
12,5756.0,5756.0,5783.0
13,5756.0,5756.0,5775.0
14,5781.0,5756.0,5773.0
15,5759.0,5756.0,5756.0
16,5758.0,5758.0,5756.0
17,5759.0,5756.0,5790.0
18,5758.0,5756.0,5763.0
19,5767.0,5756.0,5764.0
20,5758.0,5756.0,5758.0
21,5758.0,5756.0,5756.0
22,5758.0,5756.0,5760.0
23,5756.0,5756.0,5756.0
24,5771.0,5756.0,5756.0
25,5758.0,5756.0,5764.0
26,5756.0,5756.0,5788.0
27,5756.0,5756.0,5781.0
28,5760.0,5756.0,5758.0
29,5756.0,5757.0,5756.0
30,5765.0,5756.0,5800.0
